"","iteration","int.f0","app.mthd.os.f0","man.dm.f0","man.source.pig.f0","app.mthd.cs.f0","int.r1","app.mthd.bc.r1","man.dm.r1","air.temp.r1","wind.sqrt.r1","app.mthd.ts.r1","man.ph.r1","int.r2","rain.rate.r2","int.r3","app.mthd.cs.r3","man.ph.r3","rain.rate.r5","int.r5","incorp.shallow.f4","incorp.deep.f4","incorp.deep.r3"
"iteration",1,0.005,-0.126,-0.017,-0.073,-0.051,-0.029,-0.033,0.06,-0.051,-0.014,-0.01,-0.023,0.013,-0.019,0.035,-0.009,-0.009,0.053,NA,NA,NA,NA
"int.f0",0.005,1,-0.283,-0.136,-0.338,0.036,-0.016,0.004,0.579,-0.663,-0.185,0.137,-0.711,0.608,-0.211,-0.214,-0.161,0.633,0.261,NA,NA,NA,NA
"app.mthd.os.f0",-0.126,-0.283,1,0.026,0.65,0.022,-0.058,-0.262,-0.432,0.421,0.006,-0.224,0.097,-0.404,0.301,-0.642,0.52,0.081,-0.233,NA,NA,NA,NA
"man.dm.f0",-0.017,-0.136,0.026,1,0.198,-0.126,-0.051,-0.328,-0.458,0.286,-0.054,0.083,0.255,-0.262,0.133,0.213,0.084,-0.152,-0.233,NA,NA,NA,NA
"man.source.pig.f0",-0.073,-0.338,0.65,0.198,1,-0.057,0.134,-0.361,-0.49,0.446,-0.127,-0.228,0.135,-0.276,0.098,-0.485,0.581,-0.036,-0.036,NA,NA,NA,NA
"app.mthd.cs.f0",-0.051,0.036,0.022,-0.126,-0.057,1,-0.025,0.166,-0.072,-0.207,-0.049,0.092,-0.135,0.134,-0.038,-0.035,-0.108,0.148,0.019,NA,NA,NA,NA
"int.r1",-0.029,-0.016,-0.058,-0.051,0.134,-0.025,1,-0.525,-0.013,-0.174,-0.243,-0.505,-0.046,0.321,-0.543,-0.054,0.271,0.114,0.511,NA,NA,NA,NA
"app.mthd.bc.r1",-0.033,0.004,-0.262,-0.328,-0.361,0.166,-0.525,1,0.231,-0.241,0.203,0.589,-0.134,0.274,0.226,0.306,-0.613,-0.031,-0.378,NA,NA,NA,NA
"man.dm.r1",0.06,0.579,-0.432,-0.458,-0.49,-0.072,-0.013,0.231,1,-0.492,-0.116,0.156,-0.252,0.452,-0.307,0.088,-0.304,0.087,0.209,NA,NA,NA,NA
"air.temp.r1",-0.051,-0.663,0.421,0.286,0.446,-0.207,-0.174,-0.241,-0.492,1,0.245,-0.226,0.669,-0.79,0.424,-0.073,0.417,-0.518,-0.28,NA,NA,NA,NA
"wind.sqrt.r1",-0.014,-0.185,0.006,-0.054,-0.127,-0.049,-0.243,0.203,-0.116,0.245,1,-0.24,0,-0.249,0.719,0.146,-0.23,0.063,-0.428,NA,NA,NA,NA
"app.mthd.ts.r1",-0.01,0.137,-0.224,0.083,-0.228,0.092,-0.505,0.589,0.156,-0.226,-0.24,1,0.013,0.215,-0.04,0.212,-0.309,-0.103,-0.204,NA,NA,NA,NA
"man.ph.r1",-0.023,-0.711,0.097,0.255,0.135,-0.135,-0.046,-0.134,-0.252,0.669,0,0.013,1,-0.675,0.092,0.298,0.19,-0.902,-0.139,NA,NA,NA,NA
"int.r2",0.013,0.608,-0.404,-0.262,-0.276,0.134,0.321,0.274,0.452,-0.79,-0.249,0.215,-0.675,1,-0.44,0.101,-0.342,0.493,0.229,NA,NA,NA,NA
"rain.rate.r2",-0.019,-0.211,0.301,0.133,0.098,-0.038,-0.543,0.226,-0.307,0.424,0.719,-0.04,0.092,-0.44,1,-0.107,-0.017,0.017,-0.674,NA,NA,NA,NA
"int.r3",0.035,-0.214,-0.642,0.213,-0.485,-0.035,-0.054,0.306,0.088,-0.073,0.146,0.212,0.298,0.101,-0.107,1,-0.481,-0.426,-0.032,NA,NA,NA,NA
"app.mthd.cs.r3",-0.009,-0.161,0.52,0.084,0.581,-0.108,0.271,-0.613,-0.304,0.417,-0.23,-0.309,0.19,-0.342,-0.017,-0.481,1,-0.055,0.213,NA,NA,NA,NA
"man.ph.r3",-0.009,0.633,0.081,-0.152,-0.036,0.148,0.114,-0.031,0.087,-0.518,0.063,-0.103,-0.902,0.493,0.017,-0.426,-0.055,1,0.109,NA,NA,NA,NA
"rain.rate.r5",0.053,0.261,-0.233,-0.233,-0.036,0.019,0.511,-0.378,0.209,-0.28,-0.428,-0.204,-0.139,0.229,-0.674,-0.032,0.213,0.109,1,NA,NA,NA,NA
"int.r5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"incorp.shallow.f4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"incorp.deep.f4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"incorp.deep.r3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
